,name,brand,description,details,occasion,style,subcategory_bottom,subcategory_top
25,Crewneck Wool Sweater,Theory,"Basic, wear-everywhere sweater spun from pure wool.","Crewneck
Long sleeves
Pullover style
Rib knit at neck, cuffs and hem
Wool
Dry clean
Imported
SIZE & FITAbout 27"" from shoulder to hem",[],[],N/A,N/A
26,Pull-on slip skirt in leopard,J.Crew,"The beloved '90s style is back, and more versatile than ever. Ours features an easy elastic waistband, and hits slightly below the knee for a modern look. And because our love for leopard knows no limits, we finished it with a colorful cat print.",unknown,[],[],N/A,N/A
27,DEMYLEE® Harriett cashmere sweater,J.Crew,"New York-based designer Demy Lee is known for her cozy, cult-favorite sweaters that combine luxurious fibers with versatile, everyday wearability. With a modern mock neck and gently flared sleeves, this easy, (slightly) boxy cashmere sweater will become a cold weather go-to in your closet.",unknown,[],[],N/A,N/A
28,Cosmos Cotton Hoodie,Theory,"This relaxed hoodie has a dual zip closure and kangaroo front pocket, and is offered in Theory's signature airy slub cotton.","Attached hood
Long sleeves with banded cuffs
Zip front
Kangaroo pouch pockets
Cotton
Machine wash
Imported
SIZE & FITRegular fit
About 28"" from shoulder to hem",[],[],N/A,N/A
29,Curb cropped acid-wash high-rise straight-leg jeans,Alexander Wang,Light-gray denim Partially concealed button fastenings along front 100% cotton Machine wash,"Fits true to size, take your normal size 
Those with a petite frame may wish to take the next size down 
High-rise, intended for a straight-leg fit 
Cropped length 
Mid-weight, non-stretchy fabric
Model is 175cm/ 5'9"" and is wearing a size 26","['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Casual', 'Androgynous', 'classic', 'Classic', 'casual', 'modern', 'androgynous', 'edgy']",Pants&Leggings,N/A
30,Infant's Two-Piece Burp Pad Set,Royal Baby,Soft cotton knit burp pads with ribbon and dot trim.,"Set of two pads
Cotton
Machine wash
Made in USA",[],[],N/A,N/A
31,Minimalist Whipped Powder Blush,Shiseido,"WHAT IT ISThis air-whipped cream blush transforms into a long-lasting, weightless, breathable powder with a soft matte finish. This blush uses breakthrough AirFusion Technology to blend effortlessly across skin. Made in USA.WHO IT'S FORAnyone who wants a natural, long-lasting flush of color on cheeks.WHAT IT DOESThe mousse-like texture transforms into an ultra-thin, featherweight powder with a soft matte finish that lasts eight hours. Availablei","WHAT IT ISThis air-whipped cream blush transforms into a long-lasting, weightless, breathable powder with a soft matte finish. This blush uses breakthrough AirFusion Technology to blend effortlessly across skin. Made in USA.WHO IT'S FORAnyone who wants a natural, long-lasting flush of color on cheeks.WHAT IT DOESThe mousse-like texture transforms into an ultra-thin, featherweight powder with a soft matte finish that lasts eight hours. Availablei",[],[],N/A,N/A
32,Agnes Top,Apiece Apart,"The cropped shape is chic. Chicer still: that sleeveless silhouette and the double-layered hem, which adds an element of intrigue to this beautifully boxy top. And just wait till you feel that crisp cotton—it’s weightless and ready to take on the warm weather.100% cottonDry clean recommended or machine wash coldModel is 5’9.5"" with 33"" bust, 25"" waist, 33.5"" hips and wearing a size 2",unknown,"['Vacation', 'daytonight', 'vacation', 'DaytoNight', 'Weekend', 'weekend']","['Modern', 'Casual', 'Androgynous', 'casual', 'modern', 'boho', 'androgynous']",N/A,CropTop
33,Slim American Pima cotton oxford shirt with mechanical stretch in plaid,J.Crew,"The Oxford cloth button-down shirt is a quintessential wardrobe staple and a hallmark of old-school collegiate style. It's beloved for its easy versatility: It can dress up chinos or make a suit feel more relaxed. Our oxford is made from American Pima cotton, a species that has longer fibers than other varieties of cotton which makes it stronger, softer and less likely to pill. As an added bonus, it's engineered with mechanical stretch: the 100 percent cotton fabric is woven loosely, then washed, giving it natural elasticity without having any stretch fibers. We kept the collar unlined and a little on the long side, a nod to its Ivy League heritage. (Fun fact: Yale, Harvard and Cambridge also had shirt fabrics named after them, but none have stood the test of time as well as Oxford's.)",unknown,[],[],N/A,N/A
34,HANRO® ultralight spaghetti camisole,J.Crew,"Made from supersoft mercerized cotton that feels like second skin, this airy camisole features a subtle scoop neckline and adjustable satin straps so you can customize your fit. Minimalist and modern, HANRO is a luxe undergarments label that has been crafting refreshingly simple designs from premium materials (aka not-so-basic basics) for over 100 years.",unknown,"['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Casual', 'classic', 'Classic', 'casual', 'athleisure', 'Athleisure']",N/A,Camisole
35,Textured Dot Nanotex® Tie,Banana Republic,"Smart technology makes our ties both stain-resistant and water-repellent. Hand-pressed and shaped for a clean finish. Measures 3"" at widest point.","Smart technology makes our ties both stain-resistant and water-repellent.
Hand-pressed and shaped for a clean finish.
Measures 3"" at widest point.
100% silk.
Dry clean.
Imported.
Length: 58"" (147cm)
Max width: 3"" (7.6cm)
Stain Resistant
Water Repellent",[],[],N/A,N/A
36,Lizzi Necklace,Monies,unknown,"
Composition: Kamagong Wood
Closure: Magnetic Fastening
Color: Brown
Please note the possibility of natural inclusions in gemstones
Imported



",[],[],N/A,N/A
37,Brow Pencil,Bobbi Brown,"What It Is: Based on the Bobbi Brown technique of using pressed powder on brows for the most natural look, this formula gives you the blendability of eyebrow powder with the precision—and convenience—of a pencil. 0.04 oz. Made in Germany.Why it's Different: Powder-based and wax-free formula ensures a soft, natural-looking application.How to Use It: Begin at the inner corner of the brow and follow its natural shape using light, feathery strokes.","What It Is: Based on the Bobbi Brown technique of using pressed powder on brows for the most natural look, this formula gives you the blendability of eyebrow powder with the precision—and convenience—of a pencil. 0.04 oz. Made in Germany.Why it's Different: Powder-based and wax-free formula ensures a soft, natural-looking application.How to Use It: Begin at the inner corner of the brow and follow its natural shape using light, feathery strokes.",[],[],N/A,N/A
38,"Baby Boy's 4-Piece Star Top, Pants, Astro Bib & Crochet Teether Cotton Gift Set",Oliver & Adelaide,Four-piece cotton gift set featuring geometric design. Cotton. Machine wash. Imported.Coverall,"Crewneck
Long sleeves
Snap closure at shoulders
PantsElasticized waistband
Banded leg openings
BibAdjustable snap closure
TeetherRound handle",[],[],N/A,N/A
39,Zaine Double Stretch Crepe Trousers,Theory,"From the Theory Foundation collection, the essential everyday Zaine Pant comes with a hook bar and zip closure, belt loops, and slash pockets. Dynamic in superior stretch cotton with a compact, double-weave construction, this pant resists creasing as it moves with you.","Banded waist with belt loops
Zip fly with hook & bar closure
Waist slash pockets
Back welt pockets
Cotton/elastane
Dry clean
Imported of Italian fabric
SIZE & FI",[],[],N/A,N/A
40,Linen wrap dress,J.Crew,Everyone's favorite flattering silhouette in lightweight linen (aka your warm-weather MVP).,unknown,"['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Casual', 'classic', 'casual', 'Classic']",N/A,N/A
41,RB1 LOW,Rag & Bone,"A leather lace-up low top sneaker. Cow leather, rubber sole Imported Professional shoe cleaner Vulcanized construction, Lace-up closure",unknown,[],[],N/A,N/A
42,Little Boy's & Boy's Glow-In-The-Dark Swim Shorts,Vilebrequin,Cute little swimming shorts with a glow-in-the-dark crab print.,"Drawstring waist
Back flap pocket
Lined
Polyamide/elastane
Machine wash
Imported",[],[],N/A,N/A
43,Little Girl's & Girl's Two-Piece Striped Cat Pajama Set,Roller Rabbit,Quirky feline illustrations wearing colorful striped sweaters adorn these pajamas in an allover design. Pima cotton. Machine wash. Imported.TOP,"Crewneck
Long sleeves
Rib-knit neck, cuffs and hem
Three-button placket
PANTSElasticized waist
Pull-on style",[],[],N/A,N/A
44,Skull Island Short-Sleeve Cotton Polo,Robert Graham,"Quirky take on a modern wardrobe staple, this cotton polo features a swirling skull and paisley motif.","Point collar
Short sleeves
Three-button placket
High-low hem
Cotton
Machine wash
Imported
SIZE & FITRegular fit
About 28"" from shoulder to hem",[],[],N/A,N/A
45,One In A Million Rose in Black Hexagon Box,The Million Roses,"From the One In A Million Collection. Introducing a new level of luxury with a state of the art, handmade box of beauty, with the longest lasting, most breath-taking rose from The Million Roses.","Box: Cardboard hand-wrapped with Japanese soft-touch paper
Keep the roses in a cool and dry place, away from excess heat. Ideal temperature is 60-75 degree Fahrenheit. Ideal humidity is 50-70%. (Under 50% please use a humidifier to avoid drying out of roses.) Petals are very delicate so please avoid",[],[],N/A,N/A
46,Baby Girl's Pima Cotton Cloud Footie,Kissy Kissy,Pima cotton footie adorned with a pretty cloud print.,"Baseball collar
Long sleeves
Zip front with snap tab closure
Banded trim
Footie silhouette
Pima cotton
Machine wash
Imported",[],[],N/A,N/A
47,Marlo Hamburg Tuxedo Pants,Theory,"Meticulously tailored tuxedo pants with clean, flat-front styling, in pure wool with satin-trimmed back pockets.","Clean banded waist
Zip fly with tab closure
Side pockets
Welt back pockets, one with button
Inseam, about 34¼""
Leg opening, about 15½""
Wool
Dry clean
Imported",[],[],N/A,N/A
48,Women's Birkenstock® Madrid sandals with oversized buckle,J.Crew,"The sandals you wore in the '90s are back and here to stay. This single-strap version has a slightly bigger buckle and washed-out metallic finish. They're made with a contoured cork footbed that molds to your feet, aka they get even more comfortable with wear, from the German brand that's been crafting footwear since 1774.",unknown,"['vacation', 'Weekend', 'weekend', 'Vacation']","['Boho', 'Casual', 'Androgynous', 'classic', 'Classic', 'casual', 'boho', 'androgynous']",N/A,N/A
49,Draped crepe de chine jumpsuit,Halston,"White crepe de chine  Button-fastening keyhole at back  95% polyester, 5% elastane; lining: 100% polyester  Dry clean  Designer color: Chalk Imported","Fits true to size, take your normal size 
Designed to be loose at the bust and waist with slim pants, tapered at the hem
Partially elasticated at the waist for a comfortable fit
Mid-weight, slightly stretchy fabric
Model is 177cm/ 5'10"" and is wearing a US 2","['NightOut', 'nightout', 'Work', 'daytonight', 'work', 'DaytoNight']","['romantic', 'glam', 'Modern', 'classic', 'Classic', 'modern', 'Romantic', 'Glam']",N/A,N/A
50,High-Waisted Buttoned Checked Pants,YCH,unknown,"As featured on the Spring Summer '20 runway; pair with neon flip flops or square toed slides to mirror runway styling
High waisted, black belted waist, tapered leg, unlined
Button and zipper fastening
Composition: 58% polyester, 25% wool, 17% viscose, 2% polyurethane
Dry clean only
Imported



Model is wearing a sample size EU 36
This style fits true to size
We suggest taking your normal size",[],[],N/A,N/A
51,GIA BROOCH,Rag & Bone,A circular brooch with button clasp. One size Imported Brooch.,unknown,[],[],N/A,N/A
52,LUNA™ 2 Professional,Foreo,"WHAT IT ISThe LUNA™ 2 Professional is a powerful cleansing device designed to give you a daily, professional-level mini-facial in the comfort of your own home. The second-generation device boasts a system with 2 motors that are both 2x as powerful, and a brush surface made with longer and softer touch-points. This unique duo makes the LUNA 2 Professional ultra-powerful, yet still gentle on the skin. The medical-grade, non-porous silicone resists bacteria build-up, making it 35x more h","WHAT IT ISThe LUNA™ 2 Professional is a powerful cleansing device designed to give you a daily, professional-level mini-facial in the comfort of your own home. The second-generation device boasts a system with 2 motors that are both 2x as powerful, and a brush surface made with longer and softer touch-points. This unique duo makes the LUNA 2 Professional ultra-powerful, yet still gentle on the skin. The medical-grade, non-porous silicone resists bacteria build-up, making it 35x more h",[],[],N/A,N/A
53,"Toddler's, Little Girl's & Girl's Plaid Flannel Shoulder Shep Shirt",Vineyard Vines,unknown,"Cool essential with plaid flannel panel on shoulders 
Stand collar
Front zip closure
Long sleeves with ribbed cuffs
Ribbed hem
French terry cotton
Machine wash
Imported",[],[],N/A,N/A
54,Little Girl's & Girl's Flounce Hem Polo Dress,Moncler,"This easy-going dress combines a sporty polo with a girly, ruffled hem.","Button placket
Short sleeves
Flounce hem
Pull-on styling
Cotton/elastane
Machine wash
Imported",[],[],N/A,N/A
55,Textured Silk Tie,Charvet,Textured tie with elegant decorative motif all over.,"Silk
Dry clean
Made in France
SIZEWidth, about 3.25""",[],[],N/A,N/A
56,Zaine Zip-Fly Shorts,Theory,unknown,"Single-hued pattern updates these lightweight shorts
Belt loops
Zip fly with button closure
Slash pockets
Backed buttoned welt pockets
Inseam, about 9""
Cotton/nylon/spandex
Machine wash
Imported",[],[],N/A,N/A
57,Minimal Leather Sandals,GIA x Pernille Teisbaek,unknown,"As featured in the SS'20 collection, take cues from the brand and style with an oversized blazer and clutch, for an elevated everyday look.
Square toe, mule silhouette, kick flare heel
Slip on
Composition: 100% leather
Made in Italy



Heel measures approximately 80mm / 3 inches
Fits true to size, we suggest ordering your normal size
Italian Sizing","['NightOut', 'nightout', 'weekend', 'Weekend']","['Glam', 'glam', 'classic', 'Classic']",N/A,N/A
58,Diamantissima Rose Gold PVD & Leather Strap Watch,Gucci,unknown,"From the Diamantissima Collection
Ronda quartz movement
Water resistant to 5 ATM
Round rose gold PVD case, 27mm (1"")
Black lacquered Diamante pattern dial
Sapphire crystal with antireflective coating
Black leather strap
Rose gold PVD ardillon buckle
Made in Switzerland",[],[],N/A,N/A
59,Regular-Fit Skull Graphic Tee,John Varvatos Star U.S.A.,"Showcasing an eclectic skull graphic, this t-shirt is a statement piece.","Crewneck
Short sleeves
Pullover style
Cotton
Machine wash
Imported
SIZE & FITRegular-fit
About 25"" from shoulder to hem",[],[],N/A,N/A
60,Flokati Shag 950 Runner Rug,Safavieh,"From the Flokati 900 Collection. Flokati Shag Rugs bring the soft feel and rich colors of ancient Greek rug design to home decor. A superb choice for contemporary, country and boho-chic decor, the medium shag pile of the Flokati rugs is ideal for adding a sense of depth and dimension to room furnishings. Made using soft synthetic yarns for comfort underfoot and long lasting beauty.","Jute weft backing
Polyester pile
Professional clean
Imported
SPECIFICATIONS",[],[],N/A,N/A
61,Skull Silk Biker Scarf,Alexander McQueen,Signature skull graphics adorn this fringed scarf with a striped border.,"Fringed edges
Wool/Cashmere
Dry clean
Made in Italy
SIZE40.5""W x 47.25""L",[],[],N/A,N/A
62,Slim-Fit Calvary Twill Pants,Polo Ralph Lauren,Industrial-inspired twill pants are crafted with subdued pleats.,"Belt loops
Zip fly with tab hook closure
Side slash pockets
Back buttoned welt pockets
Front and back pleats
Cotton/elastane
Machine wash
Imported
SIZE & FITSlim-fit silhouette
Rise, about 10""
Inseam, about 34""
Leg opening, about 14""",[],[],N/A,N/A
63,Irving Micro Dot Shirt,Theory,"This classic Irving shirt is designed with a point collar, button-front closure, and curved hem and is woven from a contrast micro print.","Point collar
Long sleeves
Button cuffs
Button front
Shirttail hem
Cotton
Dry clean
Imported
SIZE & FITAbout 30"" from shoulder to hem",[],[],N/A,N/A
64,Harlow ankle-strap pumps in gold Lurex®,J.Crew,"A glittery gold Lurex&reg; finish makes this block-heel pump the ultimate party pick. Bonus points for supportive ankle straps (aka, even more of a reason to get out on the dance floor).",unknown,[],[],N/A,N/A
65,Belted denim boilersuit,J.Crew,"We love the of-the-moment ease of a utility-style jumpsuit. We gave this one a flattering, feminine twist with a self-tie belt at the waist and a slightly cropped straight leg.",unknown,"['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Modern', 'Casual', 'Androgynous', 'Retro', 'casual', 'modern', 'androgynous', 'retro']",N/A,N/A
66,Airy Cashmere Silk Cropped Boxy Tee,Sally LaPointe,"For an adult iteration of the crop top, look to Sally LaPointe's lightweight crewneck tee. Crafted in an airy, soft silk-cashmere blend in a creamsicle hue, this transitional piece looks ideal when paired with white high-waisted wide-leg trousers and a simple white sandal, either heeled or flat. 
","Pull on
Boxy fit, short sleeves
Composition: 79% cashmere, 21% silk
Made in the USA


This style fits true to sizeWe suggest taking your normal size
Model measurements: height 5'9""/175cm - bust 32""/81.2cm - waist 24""/60.96cm - hip 34""/86.36cmShe is wearing size XS/S","['Weekend', 'daytonight', 'weekend', 'DaytoNight']","['Athleisure', 'Casual', 'casual', 'athleisure']",N/A,CropTop
67,So Intense Eyeliner,Sisley-Paris,"So Intense Eyeliner is a felt-tip eyeliner that delivers an intense black line for an instantly beautified look. This formula is enriched with Vitamin Peptide, Wild Rose extract and Arginine for stronger, fuller and longer lashes, day after day. So Intense Eyeliner does not dry out the eyelids and provides maximum comfort throughout the day, thanks to Cornflower and Gardenia extract, and Pro-Vitamin B5. With the ideal amount of flexibility, the fine tip enables easy and versatile make-up from a minimalist","So Intense Eyeliner is a felt-tip eyeliner that delivers an intense black line for an instantly beautified look. This formula is enriched with Vitamin Peptide, Wild Rose extract and Arginine for stronger, fuller and longer lashes, day after day. So Intense Eyeliner does not dry out the eyelids and provides maximum comfort throughout the day, thanks to Cornflower and Gardenia extract, and Pro-Vitamin B5. With the ideal amount of flexibility, the fine tip enables easy and versatile make-up from a minimalist",[],[],N/A,N/A
68,Fur Pom-Pom Logo Knit Beanie,Moncler,"Rib-knit in virgin wool, this beanie is topped with a large fox fur pom-pom. An embroidered logo patch adds the finishing touch.","Fur pom-pom
Folded brim
Embroidered logo patch
Virgin wool
Fur type: Dyed fox
Fur origin: Finland
Dry clean by fur specialist
Made in Italy
SIZELength, about 11""",[],[],N/A,N/A
69,Gresham TB Monogram Sweatpants,Burberry,These relaxed cotton joggers features the signature TB monogram for a touch of heritage styling.,"Elasticized drawstring waist
Pull-on style
Elasticized cuffs
Side slip pockets
Back welt pocket
Cotton
Machine wash
Made in Portugal
SIZE & FITInseam, about 29""",[],[],N/A,N/A
70,Tweed Knotted Headband,Lele Sadoughi,A preppy herringbone tweed headband with a top knot detail.,"Cotton tweed/plastic
Imported
SIZEWidth, about 1""",[],[],N/A,N/A
71,Everett Slim Straight-Fit Jeans,AG Jeans,Classic five-pocket stretch cotton jeans with slim legs and tonal embroidered back pockets.,"Belt loops
Zip fly with button closure
Five-pocket styling
Back logo patch
Rayon/cotton/polyester/spandex
Machine wash
Made in USA
SIZE & FITSlim straight fit
Rise, about 10.25""
Inseam, about 34""
Leg opening, about 15""",[],[],N/A,N/A
72,Ridge Waffle Hoodie,Theory,A full zip sweatshirt with a waffle texture in a cotton-blend fabrication.,"Attached hood
Long sleeves
Zip front
Rib-knit trim
Waist pockets
Cotton/elastane
Dry clean
Imported
SIZE & FITRegular fit
About 28"" from shoulder to hem",[],[],N/A,N/A
73,Pull-on toothpick jean in black,J.Crew,"Everything you love about our jean, now with an easy pull-on waistband.",unknown,"['NightOut', 'nightout', 'Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['Modern', 'Edgy', 'Classic', 'classic', 'BusinessCasual', 'businesscasual', 'modern', 'edgy']",Pants&Leggings,N/A
74,Belted denim jumpsuit,King & Tuckfield,Indigo denim Button fastenings along front 100% cotton Machine wash Made in Italy,"Fits true to size, take your normal size 
Cut to be slightly fitted at the bust and waist with wide-leg pants
Use the tie belt to cinch in at the waist
Mid-weight, non-stretchy fabric
Model is 180cm/ 5’11” and is wearing a size XSmall",[],[],N/A,N/A
75,Antoinette Moon Mules,MIDNIGHT 00,unknown,"As featured in the SS'20 collection, style with wide leg trousers and an oversized blazer for an elevated evening look.
Kitten heel, embellished moon and pearl upper, open back, exaggerated ruffle
Slip on
Composition: 100% duchesse satin
Made in Italy



Heel measures approximately 50mm / 2 inches
Fits true to size, we suggest taking your normal size
Italian Sizing",[],[],N/A,N/A
76,MODERN Macro Pinstripe Swim Shorts,Saks Fifth Avenue,ONLY AT SAKS. Tonal stripes adorn these longline trunks in a satin finish.,"Banded waist
Zip fly with snap-button closure
Side slash pockets
Back flap pocket
Polyester/microfiber satin
Dry clean
Imported
SIZE & FITRise, about 9""
Inseam, about 20""
Leg opening, about 14""",[],[],N/A,N/A
77,Baby's Mini Chiara Wing Leather Flats,Sophia Webster,unknown,"From the Mini Collection
Sparkly butterfly wings accent Mary Jane flats
Leather upper
Adjustable ankle strap
Synthetic lining
Leather sole
Imported",[],[],N/A,N/A
78,Little Boy's & Boy's Colorblock Ringer Tee,Lacoste,Essential short-sleeve cotton-blend ringer tee with signature Lacoste logo across the front.,"Crewneck
Short sleeves
Pullover style
Banded trim
Cotton/polyester
Machine wash
Imported",[],[],N/A,N/A
